Hour Ending,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
01/24/2023 04:00,9445.554472,1525.303584,5358.761609,1077.920325,11923.414052,2680.189283,6384.138954,1216.073916,39611.356195
01/24/2023 05:00,9674.207818,1549.357661,5374.048619,1099.511013,12306.864344,2745.63992,6551.235677,1250.252524,40551.117576
01/24/2023 06:00,10274.071716,1607.725297,5356.484812,1160.197007,13204.140701,2895.752797,7020.290335,1311.166276,42829.828941
01/24/2023 07:00,11127.836108,1793.308933,5492.449522,1244.875662,14594.026997,3210.393895,7675.259026,1420.351478,46558.501622
01/24/2023 08:00,11518.67591,1919.177514,5550.754199,1290.79875,15555.135902,3302.971003,7998.45039,1477.286591,48613.250259
01/24/2023 09:00,11646.633348,1946.600631,5527.756826,1296.850914,15697.047192,3279.375273,8010.765452,1470.039022,48875.068658
01/24/2023 10:00,11797.233603,1995.209006,5530.007975,1310.046998,16009.847958,3309.09281,8058.969375,1487.399729,49497.807454
01/24/2023 11:00,11934.495259,1992.103861,5617.75119,1321.013459,16260.666725,3372.440198,8103.838229,1480.787444,50083.096366
01/24/2023 12:00,11889.909191,2008.082989,5599.430745,1333.466802,16294.296192,3435.686557,8116.294393,1467.931495,50145.098364
01/24/2023 13:00,11725.349703,2018.236818,5529.621358,1332.212297,16283.596423,3489.040326,8104.250777,1443.566031,49925.873734
01/24/2023 14:00,11634.908038,1967.804976,5526.672397,1336.217077,16218.216,3546.424149,7723.719154,1427.348669,49381.310461
01/24/2023 15:00,11245.062004,1958.133363,5462.74867,1325.377821,15890.045301,3535.996329,7336.368906,1407.157569,48160.889964
01/24/2023 16:00,11094.905724,1885.408991,5413.415355,1329.895211,15742.661823,3474.74642,7135.210696,1397.720601,47473.964821
01/24/2023 17:00,11125.182877,1960.259117,5428.265857,1343.529947,16158.994821,3453.477873,7215.832245,1429.975057,48115.517794
01/24/2023 18:00,11289.347855,2010.815184,5414.80855,1368.043869,16839.977826,3421.853879,7513.892155,1476.439954,49335.179272
01/24/2023 19:00,11693.567102,2049.446305,5534.630685,1391.174984,17176.157474,3528.673936,8097.492763,1552.090538,51023.233787
01/24/2023 20:00,11785.10374,2054.380132,5584.000562,1385.76971,17219.693088,3574.891936,8316.855776,1577.449649,51498.144594
01/24/2023 21:00,11701.135309,2009.294565,5591.078653,1373.053152,17298.43162,3516.344423,8352.244558,1579.966935,51421.549216
01/24/2023 22:00,11434.427389,1971.392402,5569.372678,1341.93559,16971.030125,3436.260915,8215.271058,1563.420393,50503.110551
01/24/2023 23:00,10959.053521,1870.139697,5606.851303,1291.012035,16072.448514,3265.835606,7876.301201,1512.603954,48454.245831
01/24/2023 24:00,10609.695204,1800.371494,5598.261652,1254.18841,15259.542257,3073.192288,7550.876613,1477.974733,46624.102652
01/25/2023 01:00,10374.523992,1759.906529,5629.839942,1250.317898,14859.933006,2955.085554,7242.179467,1370.200113,45441.9865
01/25/2023 02:00,10333.501167,1757.897389,5658.351967,1241.401874,14654.028359,2859.362318,7182.686072,1371.463783,45058.692929
01/25/2023 03:00,10340.188799,1739.805794,5684.568401,1236.963531,14570.871379,2783.770974,7193.674551,1382.040185,44931.883616
01/25/2023 04:00,10418.223222,1705.084927,5652.605936,1239.327692,14574.106043,2873.485351,7270.382642,1400.207454,45133.423267
01/25/2023 05:00,10754.095265,1754.572063,5632.041221,1256.714477,14983.029209,2977.247841,7552.086388,1437.907514,46347.693978
01/25/2023 06:00,11421.449455,1862.546364,5608.502372,1298.092394,15820.068924,3205.796314,8130.886792,1514.1729,48861.515515
01/25/2023 07:00,12342.784482,2023.546316,5725.018454,1365.032541,17186.231974,3580.516365,8969.112673,1620.697369,52812.940174
01/25/2023 08:00,12738.020887,2095.374016,5751.131778,1404.998212,17728.996686,3727.221534,9377.217822,1667.522066,54490.483001
